"id","train","target","tof","r","fitem","ford","m","f1","f3","f5","f6","f7","f8","f9","f10","f12","f14","f17","f19","f20","f21","f22","f23","f26","f27","f30","f31","f35","f36","f37","f38","f39","f40","f41","f44","f50","f99","m1","m3","m5","m6","m7","m8","m9","m10","m12","m14","m17","m19","m20","m21","m22","m23","m26","m27","m30","m31","m35","m36","m37","m38","m39","m40","m41","m44","m50","m99"
16004,1,0,6.70499657768652,2.22039698836413,11,4,180.71,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,14.95,0,0,25.51,0,0,122.1,0,0,0,0,0,0,0,0,15.59,0,0,0,0,0,0,0,0,0
16470,0,0,6.58179329226557,0.462696783025325,43,13,435.57,0,0,0,0,1,3,0,1,3,0,0,21,2,0,0,3,0,0,0,2,0,0,4,0,0,0,0,0,1,2,0,0,0,0,7.62,25.72,0,6.62,25.02,0,0,221.69,17.69,0,0,28.69,0,0,0,10.17,0,0,33.58,0,0,0,0,0,39.9,18.87
17167,1,0,5.86447638603696,2.35455167693361,21,8,184.1,1,0,0,1,1,3,1,0,0,0,0,3,5,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,5.09,0,0,5.11,7.57,22.85,10.2,0,0,0,0,25.4,62.98,0,0,0,0,0,0,10.2,12.86,0,6.62,0,0,5.09,0,0,0,10.12
17221,1,0,6.6009582477755,4.88432580424367,8,4,105.48,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,12.68,0,0,0,0,0,25.54,0,0,6.6,0,0,0,0,0,0,0,8.67,20.43,10.17,0,0,0,0,12.73,8.67,0,0
17540,1,0,5.47022587268994,0.449007529089665,11,6,92.97,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,17.38,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0,0,22.8,16.95,6.14,0,0,0,0,7.9,0,0,0
17655,0,0,1.19096509240246,1.19096509240246,4,1,76.7,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.95,0,0,0,14.9,0,0,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,0,0
20010,0,0,5.82614647501711,0.142368240930869,70,18,843.98,1,0,0,0,1,1,0,1,1,2,0,7,0,0,0,24,1,1,0,3,6,0,2,0,0,3,5,2,6,3,24.9,0,0,0,15.31,12,0,7,19.8,31.9,0,83.41,0,0,0,236.52,5.01,20.4,0,23.4,87.91,0,9.9,0,0,55.09,81.13,40.15,62.7,27.46
20117,0,0,4.88432580424367,0.49555099247091,16,4,120.67,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19.85,0,0,0,0,0,0,21.19,0,0,0,0,0,0,0,51.26,7.95,0,0,0,0,0,0,20.43,0
20311,1,0,6.85831622176591,2.09171800136893,60,10,598.22,0,0,0,0,1,2,1,0,0,10,0,5,7,0,1,1,4,0,0,1,19,2,3,0,0,1,0,1,0,1,0,0,0,0,15.24,17.77,10.2,0,0,106.05,0,39.65,86.88,0,5.01,5.09,45.47,0,0,5.09,195.62,25.51,22.85,0,0,7.67,0,5,0,5.11
21210,0,0,6.78713210130048,5.86995208761123,4,4,93.03,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43.46,0,0,0,0,0,0,0,34.26,0,0,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0,0,0
21733,0,0,5.45927446954141,5.45927446954141,4,1,64.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,11.91,0,0,0,0,0,0,50.11,0,0
22225,1,0,4.35318275154004,3.9917864476386,7,2,82.24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8.59,8.67,0,0,0,0,0,0,0,25.36,0,0,0,0,0,0,0,0,39.63
22373,0,0,6.20944558521561,3.28542094455852,29,5,283.84,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,20,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,10.12,0,0,0,0,0,12.73,0,0,0,10.12,0,0,0,183.71,10.2,0,10.12,0,0,22.88,0,23.95,0,0
23124,1,0,6.85831622176591,0.369609856262834,75,25,744.77,2,0,0,2,0,10,0,0,0,1,0,10,7,0,0,2,0,2,0,10,8,6,1,0,0,5,0,0,0,9,31.34,0,0,23.8,0,69.16,0,0,0,0,0,138.09,73.79,0,0,29.59,0,24.9,0,104.94,53.22,37.03,5.09,0,0,42.23,0,0,0,111.6
23167,0,0,5.91101984941821,4.91444216290212,12,2,111,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78,90.65,0,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0
23736,0,0,2.95687885010267,1.89459274469541,9,4,326.01,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.11,275.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24945,1,9.95,5.81519507186858,0.276522929500342,24,10,180.69,0,0,0,0,0,0,0,0,0,15,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.31,0,7.64,53.94,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0
26042,0,0,0.0629705681040383,0.0629705681040383,4,1,18.89,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2.95,0,0,0,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26417,0,0,5.82888432580424,0.870636550308008,33,15,384.44,0,0,0,0,1,5,0,0,2,1,0,2,3,2,0,0,0,0,0,7,6,0,2,0,0,0,0,2,0,0,0,0,0,0,5.11,49.42,0,0,17.7,15.24,0,35.74,28.99,19.02,0,0,0,0,0,115.35,50.44,0,40.41,0,0,0,0,7.01,0,0
27707,0,0,7.00342231348391,0.0082135523613963,86,10,643.12,4,0,0,0,2,21,1,3,3,10,0,11,0,0,0,2,0,0,0,1,13,0,4,0,0,0,0,4,0,7,18.51,0,0,0,10.23,156.95,8.95,25.85,30.51,66.02,0,106.23,0,0,0,17.77,0,0,0,8.59,77.27,0,28.8,0,0,0,0,36.65,0,50.79
28258,0,0,2.85284052019165,0.802190280629706,9,4,54.3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,41.4,0,0,4.95,0,0,0,0,0,0
28398,0,79.55,1.98220396988364,0.177960301163587,35,6,372.83,4,0,1,0,0,2,0,0,3,10,0,2,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,1,1,4,41.3,0,2.5,0,0,15.9,0,0,38.85,71.24,0,9.8,0,0,0,39.95,0,0,0,40.7,24.89,0,0,0,0,0,0,29.95,9.95,47.8
28495,1,0,2.97330595482546,0.0465434633812457,7,3,203.75,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,101.24,42.19,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20.43,29.9
28827,1,0,6.49965776865161,0.813141683778234,39,29,783.04,0,0,0,0,1,3,0,0,0,2,0,13,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,6.62,43.33,0,0,0,25.41,0,423.35,235.36,0,0,0,0,0,0,0,19.95,0,0,0,0,8.67,0,0,0,20.35
29084,0,0,2.53251197809719,1.03490759753593,13,3,108.35,0,0,0,0,0,3,0,1,1,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.85,0,19.95,9.95,0,0,29.75,9.95,0,0,0,0,0,0,0,22.9,0,0,0,0,5,0,0,0,0
29823,0,0,5.27583846680356,0.522929500342231,36,16,372.22,0,0,0,1,1,1,0,0,3,1,0,5,3,1,0,0,0,2,0,1,4,2,0,0,0,6,0,3,0,2,0,0,0,15,16.95,10.17,0,0,26.85,6.8,0,70.54,29.8,12.95,0,0,0,22.9,0,2.56,25.7,15.18,0,0,0,75.78,0,33.15,0,7.9
30589,0,0,6.73237508555784,1.21013004791239,18,9,244.4,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.95,0,59.31,116.54,0,0,0,0,0,0,0,32.71,6.6,4.06,0,0,0,8.67,0,0,7.57,0
30805,0,0,6.84736481861739,0.142368240930869,89,26,1092.67,0,0,0,0,0,1,1,0,0,1,0,4,34,1,0,0,4,8,0,11,8,0,1,0,0,7,2,1,1,4,0,0,0,0,0,4.95,8.95,0,0,4.95,0,63.33,496.34,10.12,0,0,32.92,127.39,0,145.07,62.7,0,7.95,0,0,75.24,11.85,4.99,19.8,16.12
31046,0,0,6.40383299110198,0.0657084188911704,6,2,99.67,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.95,0,0,5.11,0,0,25.46,44.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66
31224,0,0,4.79671457905544,2.09171800136893,24,5,227.41,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,3,2,1,0,2,7.57,0,0,0,0,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0,34.36,36.43,39.22,0,0,0,30.5,42.41,1.95,0,19.84
31496,1,0,2.8829568788501,2.8829568788501,2,1,26.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0
31518,1,0,3.86858316221766,0.0410677618069815,216,7,1772.73,1,0,1,1,0,2,0,0,2,95,0,9,40,0,0,1,0,11,0,11,5,4,0,0,0,1,5,0,0,27,5,0,8.8,9.95,0,12.45,0,0,17.45,722.46,0,71.09,371.29,0,0,14.95,0,115.52,0,79.47,25.7,19.8,0,0,0,24.9,29.75,0,0,244.15
32247,0,0,4.79945242984257,0.265571526351814,10,3,100.39,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,14.09,0,0,0,0,0,0,0,3.95,0,0,0,0,0,10.12,44.8,0,19.86,0,0,7.57,0,0,0,0
33006,0,101.84,5.09787816563997,0.0958247775496235,180,19,1545.76,7,3,0,0,10,57,0,1,7,12,0,23,0,0,0,2,0,0,0,6,29,1,2,0,0,1,0,0,0,19,56.67,24.72,0,0,77.4,499.68,0,10.12,84.39,91.45,0,250.93,0,0,0,19.7,0,0,0,45.55,215.94,5.11,9.85,0,0,8.59,0,0,0,145.66
33618,0,0,6.83093771389459,1.36618754277892,95,16,1260.5,2,0,0,0,0,4,0,0,5,15,0,8,1,0,0,1,0,0,0,13,5,3,16,0,0,4,1,1,0,16,22.5,0,0,0,0,51.41,0,0,98.86,142.69,0,111.65,9.2,0,0,24.95,0,0,0,152.83,52.9,23.07,340.21,0,0,42.36,9.95,8.59,0,169.31
33960,0,0,6.02053388090349,6.02053388090349,1,1,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28
34258,0,0,6.67214236824093,0.0985626283367557,80,23,816.53,2,0,0,1,0,11,0,0,0,7,0,4,23,0,0,5,1,0,1,12,8,0,1,0,0,0,1,1,0,2,16.74,0,0,5.01,0,121.22,0,0,0,82.65,0,55.96,250.94,0,0,49.45,12.78,0,11.25,101.45,53.74,0,9.9,0,0,0,15.31,10,0,20.12
34681,1,0,5.30869267624914,0.783025325119781,52,9,603.27,3,0,0,0,2,0,0,0,5,0,0,14,22,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,22.73,0,0,0,18.85,0,0,0,99.73,0,0,157.76,257.67,0,0,0,0,4.95,0,13.85,0,0,5.06,0,0,0,0,0,0,22.68
35874,1,0,6.82546201232033,2.55715263518138,34,19,403.74,4,0,1,0,0,0,0,0,0,0,1,12,4,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,4,30.55,0,2.56,0,0,0,0,0,0,0,49.95,143.49,35.48,0,0,0,0,0,0,23.27,0,69.82,0,0,0,0,0,0,12.68,35.95
36293,0,0,6.98425735797399,0.290212183436003,129,22,1544.31,9,9,1,0,2,0,0,0,6,6,0,32,18,1,1,2,0,0,0,19,2,0,0,0,0,2,2,1,0,16,86.42,112.98,10.17,0,23.19,0,0,0,207.49,33.82,0,454.13,216.79,10.12,18.9,19.02,0,0,0,224.28,17.15,0,0,0,0,20.37,30.15,10.02,0,49.3
36870,0,0,2.05065023956194,1.24298425735797,7,2,45.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.95,0,0,7.95,0,0,0,5.9,0,0,9.95,0,0,3.95,0,0,0,0,0,12.8,0
37362,1,0,5.38809034907598,5.38809034907598,2,1,20.32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38202,0,0,6.78986995208761,0.39151266255989,21,11,155.07,0,0,0,0,0,0,0,1,0,1,0,0,5,1,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,7.95,0,0,45.89,8.9,0,21.91,0,0,0,0,34.51,0,30.97,0,0,0,0,0,0,0
39217,1,0,6.21218343600274,3.55373032169747,9,4,137.79,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.11,0,0,62.25,10.23,0,0,0,5.01,0,0,10.2,0,0,0,0,0,0,0,0,0,0
39314,1,0,6.88843258042437,3.80013689253936,14,13,350.75,1,0,0,1,1,0,0,0,1,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25.51,0,0,5.09,10.2,0,0,0,15.24,14.32,0,143.52,65.91,0,0,0,0,20.35,0,0,0,0,0,0,0,0,0,0,0,50.62
40185,0,0,2.75975359342916,2.68583162217659,3,2,44.85,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40614,1,0,6.99794661190965,0.881587953456537,16,9,189.79,1,1,0,0,1,0,0,0,1,0,0,4,3,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,10.2,15.24,0,0,10.17,0,0,0,10.2,0,0,74.42,25.21,0,0,14.95,0,0,0,0,15.19,0,7.62,0,0,0,0,0,0,6.6
40622,0,42.92,6.13552361396304,0.591375770020534,46,7,617.7,0,0,0,0,1,0,0,0,1,1,1,6,22,0,0,1,0,1,1,3,4,0,0,0,0,1,0,0,2,1,0,0,0,0,5,0,0,0,10.2,4.95,19.43,113.99,274.65,0,0,6.95,0,7.57,10.2,27.74,49.7,0,0,0,0,8.59,0,0,58.8,19.94
40720,1,0,3.25530458590007,0.785763175906913,17,8,281.74,0,2,0,0,1,0,0,1,2,3,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,14.19,0,0,12.95,0,0,98,29.9,17.75,0,62.75,0,0,0,9.95,0,9.8,0,0,0,0,0,0,0,0,19.95,6.5,0,0
41173,1,0,2.23956194387406,1.84804928131417,7,2,124.4,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,39.75,49.9,0,0,0,9.95,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19.8,0
41947,0,0,5.27857631759069,0.0985626283367557,25,7,219.57,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,2,8,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,55.77,0,5.01,0,0,0,15.24,0,0,0,17.18,94.63,0,0,0,0,5.09,7.9,0,0,18.75
42200,1,0,6.54346338124572,4.86789869952088,29,12,389.78,0,0,0,0,0,0,0,0,1,0,0,2,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8.95,0,0,33.16,303.35,0,0,0,0,24.67,0,0,0,0,0,0,0,0,0,0,0,19.66
